id,name,degree,peel,diversity,betweenness,pagerank
746,Viserys Targaryen,14,8,1.809514256,0.002457249,0.002157296
747,Vylarr,2,2,0,0,0.000273664
748,Vyman,3,3,0.636514168,5.80E-06,0.000441609
749,Waif,2,2,0.693147181,0,0.000617169
750,Walda Frey (daughter of Merrett),2,2,0,0,0.000279242
751,Walder Frey,19,10,1.986266518,0.006634157,0.002404955
752,Walder Frey (son of Jammos),3,3,0.636514168,0,0.000554463
753,Walder Frey (son of Merrett),8,6,1.320888343,0.000137213,0.00093115
754,Walder Rivers,5,4,1.33217904,6.15E-05,0.000539948
755,Walgrave,2,1,0.693147181,0.002515723,0.000965371
756,Walton,5,4,1.33217904,0.002515723,0.000735855
757,Watt,1,1,0,0,0.000224086
758,Waymar Royce,3,2,0.636514168,0.001593511,0.001092001
759,Weasel,4,4,1.039720771,5.39E-06,0.000500168
760,Weeper,5,5,0.950270539,6.34E-06,0.000490304
761,Weese,8,6,1.255482325,0.000107469,0.000723267
762,Wendel Manderly,7,4,1.747868097,0.002579961,0.000814957
763,Werlag,2,2,0.693147181,0,0.000360739
764,Wex Pyke,5,3,1.609437912,0.002152951,0.00097706
765,Wick Whittlestick,2,2,0.693147181,0,0.000298864
766,Widower,1,1,0,0,0.00022139
767,Will (prologue),2,2,0,0,0.001008893
768,Willam Dustin,2,2,0,0,0.000254327
769,Willas Tyrell,8,7,1.213007566,1.65E-05,0.000547806
770,Willem Lannister,4,2,1.386294361,0.002623001,0.000784547
771,William Foxglove,1,1,0,0,0.000221924
772,Willis Wode,6,5,1.560710409,4.27E-05,0.000511857
773,Willow Heddle,2,2,0.693147181,0,0.000284493
774,Willow Witch eye,1,1,0,0,0.000248835
775,Woth,5,5,1.33217904,0,0.000396638
776,Wulfe,1,1,0,0,0.000267817
777,Wun Weg Wun Dar Wun,4,3,1.039720771,9.66E-06,0.000582738
778,Wyl (guard),4,3,1.039720771,0.000269369,0.000418843
779,Wylis Manderly,2,2,0,0,0.000248762
780,Wylla,1,1,0,0,0.000217715
781,Wyman Manderly,17,8,1.905420043,0.009242797,0.002203488
782,Wynton Stout,1,1,0,0,0.000222095
