,id,value
349,all.degree3.peel5.pagerank4.diversity4.betweenness4,1.33217904
350,all.degree4.peel4.pagerank4.diversity2,0.721463687
351,all.degree4.peel4.pagerank4.diversity3.betweenness3,1.234267866
353,all.degree3.peel5.pagerank3.diversity5.betweenness3,1.609437912
354,all,2.108929177
355,all.degree4.peel4.pagerank5.diversity3.betweenness3,1.088899975
356,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
357,all.degree4.peel6.pagerank5,1.203332041
358,all.degree4.peel3.pagerank5.diversity4.betweenness5,1.78680834
360,all,2.277964323
361,all.degree4.peel4.pagerank3.diversity5.betweenness3,1.932806573
362,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
363,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
366,all.degree5.peel3.pagerank4.diversity2,1.655707776
368,all.degree5.peel4.pagerank2.diversity4,1.68185408
369,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
370,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
373,all.degree3.peel4.pagerank6.diversity4.betweenness3,1.33217904
374,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
375,all.degree3.peel4.pagerank3.diversity5.betweenness3,1.386294361
376,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
377,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
378,all.degree3.peel5.pagerank3.diversity4.betweenness3,1.351783994
381,all.degree4.peel5.pagerank4.diversity3,1.506883349
382,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
383,all.degree3.peel5.pagerank4.diversity4.betweenness3,1.33217904
384,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
386,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
387,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
392,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.039720771
393,all.degree4.peel4.pagerank4.diversity3.betweenness5,1.234267866
395,all.degree3.peel5.pagerank4.diversity4.betweenness5,1.329661349
397,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
398,all.degree3.peel4.pagerank4.diversity4.betweenness3,1.33217904
399,all.degree4.peel3.pagerank5.diversity4.betweenness3,1.859428815
400,all.degree3.peel6.pagerank4.diversity3.betweenness3,0.955699891
402,all.degree3.peel5.pagerank5.diversity2.betweenness4,0.500402424
403,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
404,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
406,all.degree3.peel3.pagerank6.diversity4.betweenness3,1.039720771
408,all.degree3.peel6.pagerank4.diversity5,1.549826046
409,all.degree3.peel5.pagerank6.diversity4.betweenness3,1.560710409
411,all.degree5.peel5.pagerank3,1.558057246
413,all.degree4.peel1,1.255482325
414,all.degree4.peel3.pagerank3.diversity5.betweenness3,1.893788232
415,all.degree3.peel5.pagerank3.diversity4.betweenness3,1.33217904
416,all.degree3.peel2.pagerank6.diversity4.betweenness2.betweenness3,0.693147181
419,all.degree5.peel4.pagerank5.diversity3,1.957615479
421,all.degree3.peel5.pagerank3.diversity3.betweenness3,0.950270539
422,all.degree3.peel5.pagerank3.diversity4.betweenness3,1.33217904
423,all.degree3.peel4.pagerank3.diversity5.betweenness3,1.386294361
425,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
426,all.degree5.peel4.pagerank4.diversity2,1.710642901
428,all.degree5.peel4.pagerank3.diversity5.betweenness3,1.893275591
430,all.degree3.peel5.pagerank3.diversity3.betweenness4,0.950270539
431,all.degree3.peel5.pagerank3.diversity3.betweenness3,1.054920168
432,all.degree3.peel5.pagerank3.diversity4.betweenness6,1.242453325
434,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
435,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
437,all.degree3.peel4.pagerank4.diversity3.betweenness3,1.039720771
439,all.degree6.peel2.pagerank3.diversity3,1.931601912
440,all.degree4.peel4.pagerank2.diversity2.betweenness4,0.683738906
442,all.degree5.peel4.pagerank5.diversity4,1.995750869
444,all.degree4.peel4.pagerank2.diversity5.betweenness4,1.427061043
445,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
447,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
449,all.degree4.peel3.pagerank2.diversity2,1.073542846
450,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
451,all.degree3.peel3.pagerank3.diversity4.betweenness4,0.693147181
453,all.degree3.peel4.pagerank3.diversity2,0.636514168
454,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
456,all.degree4.peel3.pagerank3.diversity3.betweenness5,1.494175138
460,all.degree4.peel4.pagerank5.diversity4.betweenness2,1.414279065
461,all.degree3.peel5.pagerank4.diversity3.betweenness3,1.039720771
462,all.degree3.peel3.pagerank5.diversity4.betweenness4,1.039720771
464,all.degree5.peel3.pagerank4.diversity5,2.088091943
465,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
467,all.degree3.peel4.pagerank5.diversity3.betweenness3,1.054920168
468,all.degree3.peel5.pagerank5.diversity4.betweenness5,1.242453325
469,all.degree3.peel4.pagerank4.diversity5.betweenness5,1.386294361
470,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
472,all.degree5.peel4.pagerank3.diversity3.betweenness3,1.153741943
473,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
474,all.degree3.peel4.pagerank4.diversity4.betweenness3,1.33217904
475,all.degree3.peel3.pagerank5.diversity4.betweenness4,1.098612289
476,all.degree3.peel5.pagerank4.diversity3.betweenness3,1.011404265
477,all.degree4.peel4.pagerank3.diversity3.betweenness4,1.002718265
478,all.degree3.peel4.pagerank4.diversity2.betweenness1.betweenness2.betweenness3.betweenness4.betweenness5.betweenness6,0.636514168
480,all.degree3.peel3.pagerank5.diversity4.betweenness4,1.098612289
481,all.degree3.peel5.pagerank3.diversity4.betweenness3,1.386294361
482,all.degree3.peel5.pagerank5.diversity5.betweenness4,1.609437912
484,all.degree4.peel5.pagerank3.diversity2,1.033562054
487,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
488,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
489,all.degree3.peel5.pagerank3.diversity2.betweenness4,0.562335145
490,all.degree4.peel3.pagerank3.diversity4.betweenness2,1.522955068
493,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
494,all.degree3.peel5.pagerank4.diversity4.betweenness3,1.33217904
497,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
498,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
499,all.degree5.peel4.pagerank4.diversity3,1.790313567
501,all.degree4.peel3.pagerank3.diversity4.betweenness3,1.732867951
502,all.degree3.peel4.pagerank3.diversity2.betweenness3,0.636514168
503,all.degree3.peel4.pagerank4.diversity4.betweenness5,1.242453325
504,all.degree3.peel6.pagerank4.diversity4.betweenness3,1.475076311
505,all.degree3.peel4.pagerank4.diversity5.betweenness3,1.386294361
506,all.degree3.peel4.pagerank5.diversity3.betweenness3,1.039720771
507,all.degree3.peel2.pagerank6.diversity4.betweenness2.betweenness3,0.693147181
508,all.degree3.peel5.pagerank4.diversity3.betweenness3,1.039720771
509,all.degree3.peel5.pagerank6.diversity2,1.329661349
510,all.degree5.peel4.pagerank3.diversity5.betweenness4,1.941927724
511,all.degree3.peel3.pagerank5.diversity4.betweenness4,1.098612289
513,all.degree4.peel4.pagerank2.diversity3.betweenness4,0.848685558
514,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
515,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
516,all.degree4.peel4.pagerank2.diversity4.betweenness3,1.279854226
517,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
518,all.degree4.peel4.pagerank3.diversity4.betweenness3,1.522955068
519,all.degree4.peel5.pagerank4.diversity4.betweenness3,1.873510521
520,all.degree4.peel3.pagerank3.diversity5.betweenness3,2.019814992
522,all.degree3.peel3.pagerank5.diversity3.betweenness3,0.636514168
523,all.degree4.peel4.pagerank3.diversity3.betweenness3,1.159588814
525,all.degree3.peel5.pagerank2.diversity4.betweenness4,1.039720771
526,all.degree4.peel3.pagerank3.diversity3.betweenness3,1.470808476
528,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
529,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
530,all.degree3.peel5.pagerank3.diversity2.betweenness3,0.562335145
531,all.degree3.peel5,0.682908105
534,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.039720771
535,all.degree3.peel6.pagerank3.diversity4.betweenness5,1.329661349
536,all.degree3.peel5.pagerank5.diversity4.betweenness3,1.475076311
537,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
538,all,1.984776869
539,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
540,all.degree3.peel4.pagerank3.diversity4.betweenness4,1.039720771
541,all.degree4.peel3.pagerank4.diversity4.betweenness4,1.666332585
542,all.degree4.peel6.pagerank3.diversity4.betweenness4,0.89820534
543,all.degree3.peel5.pagerank2.diversity4.betweenness5,1.039720771
544,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
548,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
550,all.degree3.peel2.pagerank5.diversity5.betweenness2.betweenness3,0.693147181
551,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.693147181
552,all.degree5.peel5.pagerank4,1.591968682
553,all.degree3.peel5.pagerank3.diversity3.betweenness3,1.039720771
554,all.degree3.peel5.pagerank5.diversity3.betweenness3,1.011404265
555,all.degree4.peel4.pagerank5.diversity3.betweenness3,1.244016696
556,all.degree3.peel4.pagerank4.diversity2.betweenness1.betweenness2.betweenness3.betweenness4.betweenness5.betweenness6,0.636514168
557,all.degree3.peel4.pagerank3.diversity4.betweenness3,1.098612289
558,all.degree3.peel4.pagerank5.diversity4.betweenness3,1.33217904
559,all.degree4.peel3.pagerank5.diversity3,1.673118363
560,all.degree3.peel5.pagerank5.diversity4.betweenness3,1.277034259
562,all.degree3.peel5.pagerank3.diversity3.betweenness3,0.950270539
564,all.degree4.peel3,1.721954449
565,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
567,all.degree4.peel5.pagerank3.diversity4.betweenness4,1.719477814
568,all.degree4.peel6.pagerank4,0.690185676
570,all.degree4.peel4.pagerank3.diversity2.betweenness3,0.801818553
572,all.degree3.peel3.pagerank3.diversity4.betweenness3,0.693147181
573,all.degree5.peel3.pagerank4.diversity4.betweenness4,2.002058727
574,all.degree4.peel3.pagerank3.diversity5.betweenness5,2.031759219
575,all.degree3.peel5.pagerank3.diversity4.betweenness3,1.242453325
576,all.degree4.peel3.pagerank4.diversity2,1.294545166
580,all.degree3.peel3.pagerank4.diversity4.betweenness3,0.636514168
581,all.degree3.peel2.pagerank5.diversity5.betweenness2.betweenness3,0.693147181
582,all.degree3.peel3.pagerank5.diversity3.betweenness5,0.636514168
